,id_participante,id_mensaje,enviado,tipo,subtipo,recibido,clase,recibido_limpio,recibido_corregido,recibido_corregido_sin_emoticones,recibido_corregido_significado_emoticones,recibido_corregido_significado_emoticones_sin_tildes,recibido_corregido_significado_emoticones_sin_stop_words,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words,recibido_corregido_significado_emoticones_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_lematizada,recibido_corregido_significado_emoticones_sin_stop_words_stemetizada,recibido_corregido_significado_emoticones_sin_tildes_sin_stop_words_stemetizada
5297,1635,5431,"¿Tenés que bajar de peso y no sabés cómo? Empezá de a poco: disminuir las porciones de cada comida, o comer más frutas y verduras te va a ayudar a bajar de peso.",educativo,,Gracias y muy bonito día para ustedes,agradecimiento,gracias y muy bonito día para ustedes,gracias y muy bonito día para ustedes,gracias y muy bonito día para ustedes,gracias y muy bonito día para ustedes,gracias y muy bonito dia para ustedes,gracias muy bonito día ustedes,gracias muy bonito dia ustedes,gracias mucho bonito día tú,gracias mucho bonito dia tú,graci muy bonit dia usted,graci muy bonit dia usted
5298,1635,5432,"¿Tenés que bajar de peso y no sabés cómo? Empezá de a poco: disminuir las porciones de cada comida, o comer más frutas y verduras te va a ayudar a bajar de peso.",educativo,,🥰,agradecimiento,🥰,🥰, em_cara_sonriendo_con_corazones ,,,,,,,,
5299,1635,5433,"Si querés bajar de peso, es importante que sea de a poco, para que se mantenga a lo largo del tiempo. Esto nos ayuda a evitar el ""Efecto Rebote"" o volver a subir rápido.",educativo,,🫶gracias,agradecimiento,🫶gracias,🫶gracias, em_manos_formando_un_corazón gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
5300,1635,5434,Lo ideal es hacer 30 minutos de actividad fisica todos los días. Podés empezar con unos pocos minutos y despues ir subiendo poco a poco la cantidad de tiempo.,educativo,,Gracias🥰💓,agradecimiento,gracias🥰💓,gracias🥰💓,gracias em_cara_sonriendo_con_corazones  em_corazón_latiendo ,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
5301,1636,5435,¿Qué podés hacer hoy para acercarte a cumplir el cambio de hábito que deseas? Es importante ir cambiando poco a poco. Un pequeño cambio es de gran ayuda.,educativo,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5302,1637,5436,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5303,1638,5437,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5304,1638,5438,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Ok,agradecimiento,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5305,1638,5439,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,No sabía yo estoy tomando GLUCEMIX. 850 MET eso lo entregan también,respuesta a consejo o pregunta,no sabía yo estoy tomando glucemix 850 met eso lo entregan también,no sabía yo estoy tomando glucemix 850 met eso lo entregan también,no sabía yo estoy tomando glucemix 850 met eso lo entregan también,no sabía yo estoy tomando glucemix 850 met eso lo entregan también,no sabia yo estoy tomando glucemix 850 met eso lo entregan tambien,no sabía tomando glucemix 850 met entregan,no sabia tomando glucemix 850 met entregan tambien,no saber tomar glucemix 850 met entregar,no sabio tomar glucemix 850 met entregar tambien,no sab tom glucemix 850 met entreg,no sabi tom glucemix 850 met entreg tambi
5306,1638,5440,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,Entonces no me jodasas mas,queja,entonces no me jodasas mas,entonces no me jodasas más,entonces no me jodasas más,entonces no me jodasas más,entonces no me jodasas mas,entonces no jodasas,entonces no jodasas mas,entonces no jodasa,entonces no jodasa mas,entonc no jodas,entonc no jodas mas
5307,1638,5441,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,👎👎👎🤔,respuesta a consejo o pregunta,👎🤔,👎🤔, em_pulgar_hacia_abajo  em_cara_pensativa ,,,,,,,,
5308,1638,5442,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,😡😡,respuesta a consejo o pregunta,😡😡,😡😡, em_cara_cabreada  em_cara_cabreada ,,,,,,,,
5309,1638,5443,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,😂😂,respuesta a consejo o pregunta,😂😂,😂😂, em_cara_llorando_de_risa  em_cara_llorando_de_risa ,,,,,,,,
5310,1639,5444,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5311,1639,5445,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Muchas gracias bendiciones,agradecimiento,muchas gracias bendiciones,muchas gracias bendiciones,muchas gracias bendiciones,muchas gracias bendiciones,muchas gracias bendiciones,muchas gracias bendiciones,muchas gracias bendiciones,mucho gracia bendición,mucho gracia bendición,much graci bendicion,much graci bendicion
5312,1639,5446,La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,Muchas Gracias por su información,agradecimiento,muchas gracias por su información,muchas gracias por su información,muchas gracias por su información,muchas gracias por su información,muchas gracias por su informacion,muchas gracias información,muchas gracias informacion,mucho gracia información,mucho gracia informacion,much graci inform,much graci inform
5313,1639,5447,La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,Gracias bendiciones,agradecimiento,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendición,gracias bendición,graci bendicion,graci bendicion
5314,1639,5448,¿Sabías que los médicos de los centros de salud se capacitaron para que recibas una mejor atención?,educativo,,Gracias bendiciones,agradecimiento,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendiciones,gracias bendición,gracias bendición,graci bendicion,graci bendicion
5315,1640,5449,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5316,1640,5450,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,"Buenos días, si ami me  lis dan gratis",respuesta a consejo o pregunta,buenos días si ami me lis dan gratis,buenos días si ami me lis dan gratis,buenos días si ami me lis dan gratis,buenos días si ami me lis dan gratis,buenos dias si ami me lis dan gratis,buenos días si ami lis dan gratis,buenos dias si ami lis dan gratis,buen día si ami lis dar gratis,buen dias si ami lis dar gratis,buen dias si ami lis dan gratis,buen dias si ami lis dan gratis
5317,1640,5451,Si sos diabético tenés que hacerte un fondo de ojo todos los años. ¿Cuándo fue la última vez que visitaste al oculista?,educativo,,"Hace mucho no me hago control , no consigo turnos",turno,hace mucho no me hago control no consigo turnos,hace mucho no me hago control no consigo turnos,hace mucho no me hago control no consigo turnos,hace mucho no me hago control no consigo turnos,hace mucho no me hago control no consigo turnos,hace no hago control no consigo turnos,hace no hago control no consigo turnos,hacer no hacer control no conseguir turno,hacer no hacer control no conseguir turno,hac no hag control no consig turn,hac no hag control no consig turn
5318,1641,5452,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5319,1641,5453,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Estoy de acuerdo,respuesta a consejo o pregunta,estoy de acuerdo,estoy de acuerdo,estoy de acuerdo,estoy de acuerdo,estoy de acuerdo,acuerdo,acuerdo,acuerdo,acuerdo,acuerd,acuerd
5320,1641,5454,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,A cual hospital el papá o San Bernardo,pregunta,a cual hospital el papá o san bernardo,a cual hospital el papá o san bernardo,a cual hospital el papá o san bernardo,a cual hospital el papá o san bernardo,a cual hospital el papa o san bernardo,hospital papá san bernardo,hospital papa san bernardo,hospital papá san bernardo,hospital papa san bernardo,hospital pap san bernard,hospital pap san bernard
5321,1641,5455,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
5322,1641,5456,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,No se ve el número,respuesta a consejo o pregunta,no se ve el número,no se ve el número,no se ve el número,no se ve el número,no se ve el numero,no ve número,no ve numero,no ver número,no ver numero,no ve numer,no ve numer
5323,1641,5457,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,GraciS,agradecimiento,gracis,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
5324,1641,5458,"Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que puedas estar bien!",educativo,,Okey gracias,agradecimiento,okey gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
5325,1641,5459,"Se puede llevar una vida normal teniendo DIABETES. Sólo es necesario comer sano, hacer ejercicios habitualmente y tomar los medicamentos que te da el médico.",educativo,,Usa este enlace para unirte a mi videollamada de WhatsApp: https://call.whatsapp.com/video/NJKHsaaCXOpGUOEz3d7X78,respuesta a consejo o pregunta,usa este enlace para unirte a mi videollamada de whatsapp https call whatsapp com video njkhsaacxopguoez 3 d 7 x 78,usa este enlace para unirte a mi videollamada de whatsapp https call whatsapp com video njkhsaacxopguoez 3 de 7 por 78,usa este enlace para unirte a mi videollamada de whatsapp https call whatsapp com video njkhsaacxopguoez 3 de 7 por 78,usa este enlace para unirte a mi videollamada de whatsapp https call whatsapp com video njkhsaacxopguoez 3 de 7 por 78,usa este enlace para unirte a mi videollamada de whatsapp https call whatsapp com video njkhsaacxopguoez 3 de 7 por 78,usa enlace unirte videollamada whatsapp https call whatsapp com video njkhsaacxopguoez 3 7 78,usa enlace unirte videollamada whatsapp https call whatsapp com video njkhsaacxopguoez 3 7 78,usar enlace unirte videollamada whatsapp https call whatsapp com video njkhsaacxopguoez 3 7 78,usar enlace unirte videollamada whatsapp https call whatsapp com video njkhsaacxopguoez 3 7 78,usa enlac unirt videollam whatsapp https call whatsapp com vide njkhsaacxopguoez 3 7 78,usa enlac unirt videollam whatsapp https call whatsapp com vide njkhsaacxopguoez 3 7 78
5326,1641,5460,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,Bueno gracias,agradecimiento,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,buen graci,buen graci
5327,1641,5461,¿Sabías que los medicamentos para la DIABETES y la insulina se entregan gratis para las personas que no tienen obra social?,educativo,,Oky,respuesta a consejo o pregunta,oky,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5328,1641,5462,¿Sabías que los médicos de los centros de salud se capacitaron para que recibas una mejor atención?,educativo,,Oky,respuesta a consejo o pregunta,oky,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5329,1641,5463,"Si tenés DIABETES o azúcar en sangre alta, es importante un control con tu médico cada 3 meses en su centro de salud. Así vas a estar bien.",educativo,,Oky,respuesta a consejo o pregunta,oky,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5330,1641,5464,Tomar medicamentos para la DIABETES evita que esta enfermedad avance. Los medicamentos ayudan a que el azúcar en la sangre no suba.,educativo,,Gracias,agradecimiento,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,gracias,graci,graci
5331,1641,5465,"¿Sabías que si bajas de peso vas a mejorar su salud? Te va a bajar el azúcar en la sangre, la presión arterial y también el colesterol.",educativo,,Okey gracias,agradecimiento,okey gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
5332,1641,5466,"En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte o cómo tomar los medicamentos)",educativo,,Okey,respuesta a consejo o pregunta,okey,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5333,1641,5467,"En la visita con el médico, habla los temas que son importantes para estar bien. (ej: qué análisis tenes que hacerte o cómo tomar los medicamentos)",educativo,,Bueno gracias,agradecimiento,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,bueno gracias,buen graci,buen graci
5334,1642,5468,Para que tu DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada cercano a 7 en los analisis de sangre. ¿Cuál es el tuyo?,educativo,glicemia,Si quiero recibir,optin,si quiero recibir,sí quiero recibir,sí quiero recibir,sí quiero recibir,si quiero recibir,sí quiero recibir,si quiero recibir,sí querer recibir,si querer recibir,si quier recib,si quier recib
5335,1642,5469,Para que tu DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada cercano a 7 en los analisis de sangre. ¿Cuál es el tuyo?,educativo,glicemia,Yo me hice los análisis,respuesta a consejo o pregunta,yo me hice los análisis,yo me hice los análisis,yo me hice los análisis,yo me hice los análisis,yo me hice los analisis,hice análisis,hice analisis,hacer análisis,hacer analisis,hic analisis,hic analisis
5336,1642,5470,Para que tu DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada cercano a 7 en los analisis de sangre. ¿Cuál es el tuyo?,educativo,glicemia,Y el miércoles los llevo al médico,respuesta a consejo o pregunta,y el miércoles los llevo al médico,y el miércoles los llevo al médico,y el miércoles los llevo al médico,y el miércoles los llevo al médico,y el miercoles los llevo al medico,miércoles llevo médico,miercoles llevo medico,miércoles llevar médico,miercol llevar medico,miercol llev medic,miercol llev medic
5337,1642,5471,Para que tu DIABETES esté bien controlada tenés que tener un valor de hemoglobina glicosilada cercano a 7 en los analisis de sangre. ¿Cuál es el tuyo?,educativo,glicemia,NO quiero recibirlos,baja,no quiero recibirlos,no quiero recibirlos,no quiero recibirlos,no quiero recibirlos,no quiero recibirlos,no quiero recibirlos,no quiero recibirlos,no querer recibir él,no querer recibir él,no quier recib,no quier recib
5338,1643,5472,"Te damos la bienvenida. Son muy importantes los cuidados y controles durante el embarazo, tanto si ya fuiste mamá como si esperás a tu primer bebé. Todas las semanas te vamos a acompañar con mensajes con información importante sobre alimentación saludable y cuidados para vos y tu bebé que pueden ayudarte a prevenir la diabetes del embarazo. Ante cualquier duda o consulta, podés concurrir al centro de salud donde realices los controles de tu embarazo. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.",bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5339,1643,5473,"Si querés dejar de recibir mensajes, por favor enviá 'BAJA' a este número.",baja,,Hola! Todavía no me lo hicieron,turno,hola todavía no me lo hicieron,hola todavía no me lo hicieron,hola todavía no me lo hicieron,hola todavía no me lo hicieron,hola todavia no me lo hicieron,hola todavía no hicieron,hola todavia no hicieron,holar todavía no hacer,hola todavia no hacer,hol todav no hic,hol todavi no hic
5340,1643,5474,"Las frutas y las verduras son muy importantes. Tratá de consumirlas todos los días y de diferentes colores, así te aseguras de recibir una mayor variedad de vitaminas y minerales.",educativo,,😊😊😊😊🫶🏻,agradecimiento,😊🫶🏻,😊🫶🏻, em_cara_feliz_con_ojos_sonrientes  em_manos_formando_un_corazón  ,,,,,,,,
5341,1644,5475,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5342,1644,5476,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Muchas gracias   muy feliz,agradecimiento,muchas gracias muy feliz,muchas gracias muy feliz,muchas gracias muy feliz,muchas gracias muy feliz,muchas gracias muy feliz,muchas gracias muy feliz,muchas gracias muy feliz,mucho gracia mucho feliz,mucho gracia mucho feliz,much graci muy feliz,much graci muy feliz
5343,1644,5477,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Aun no recibí ningún mensaje,respuesta a consejo o pregunta,aun no recibí ningún mensaje,aun no recibí ningún mensaje,aun no recibí ningún mensaje,aun no recibí ningún mensaje,aun no recibi ningun mensaje,aun no recibí ningún mensaje,aun no recibi ningun mensaje,aun no recibir ninguno mensaje,aun no recibi ningun  mensaje,aun no recib ningun mensaj,aun no recibi ningun mensaj
5344,1644,5478,¿Qué podés hacer hoy para acercarte a cumplir el cambio de hábito que deseas? Es importante ir cambiando poco a poco. Un pequeño cambio es de gran ayuda.,educativo,,Muchas gracias,agradecimiento,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,muchas gracias,mucho gracia,mucho gracia,much graci,much graci
5345,1645,5479,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Buen día si quiero,optin,buen día si quiero,buen día sí quiero,buen día sí quiero,buen día sí quiero,buen dia si quiero,buen día sí quiero,buen dia si quiero,buen día sí querer,buen dia si querer,buen dia si quier,buen dia si quier
5346,1646,5480,Para que tu DIABETES esté bien controlada debe tener un valor de hemoglobina glicosilada cercano al 7 en sus analisis de sangre. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5347,1646,5481,Para que tu DIABETES esté bien controlada debe tener un valor de hemoglobina glicosilada cercano al 7 en sus analisis de sangre. ¿Conoces cuál es tu valor de hemoglobina glicosilada ?,educativo,glicemia,Hola buenos días esos son td mis controles,respuesta a consejo o pregunta,hola buenos días esos son td mis controles,hola buenos días esos son td mis controles,hola buenos días esos son td mis controles,hola buenos días esos son td mis controles,hola buenos dias esos son td mis controles,hola buenos días td controles,hola buenos dias td controles,holar buen día td control,holar buen dias td control,hol buen dias td control,hol buen dias td control
5348,1647,5482,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Gracias por comunicarte con Valery Creaciones. ¿Cómo podemos ayudarte?,autorespuesta,gracias por comunicarte con valery creaciones cómo podemos ayudarte ,gracias por comunicarte con valery creaciones cómo podemos ayudarte ,gracias por comunicarte con valery creaciones cómo podemos ayudarte ,gracias por comunicarte con valery creaciones cómo podemos ayudarte,gracias por comunicarte con valery creaciones como podemos ayudarte,gracias comunicarte valery creaciones cómo podemos ayudarte,gracias comunicarte valery creaciones podemos ayudarte,gracias comunicarte valery creación cómo poder ayudartar,gracias comunicarte valery creación poder ayudarte,graci comunicart valery creacion com pod ayudart,graci comunicart valery creacion pod ayudart
5349,1647,5483,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5350,1647,5484,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Si pero no lo tengo aquí esta en casa,respuesta a consejo o pregunta,si pero no lo tengo aquí esta en casa,si pero no lo tengo aquí esta en casa,si pero no lo tengo aquí esta en casa,si pero no lo tengo aquí esta en casa,si pero no lo tengo aqui esta en casa,si no tengo aquí casa,si no tengo aqui casa,si no tener aquí casa,si no tener aqui casa,si no teng aqu cas,si no teng aqui cas
5351,1647,5485,¡Te damos la bienvenida! Recibirás un mensaje semanal con consejos para cuidarte y mejorar tu salud. Podés dejar de recibir estos mensajes enviando 'BAJA' a este número.,bienvenida,,Porque estoy trabajando,respuesta a consejo o pregunta,porque estoy trabajando,porque estoy trabajando,porque estoy trabajando,porque estoy trabajando,porque estoy trabajando,trabajando,trabajando,trabajar,trabajar,trabaj,trabaj
5352,1647,5486,"Si tus valores de azúcar en sangre están altos, visita a tu médico. ¡Él ayudará a que bajen para que puedas estar bien!",educativo,,Bien,respuesta a consejo o pregunta,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien,bien
5353,1648,5487,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5354,1648,5488,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,De nada un gusto,agradecimiento,de nada un gusto,de nada un gusto,de nada un gusto,de nada un gusto,de nada un gusto,nada gusto,nada gusto,nada gusto,nada gusto,nad gust,nad gust
5355,1648,5489,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Ok gracias,optin,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
5356,1648,5490,La prediabetes se puede corregir y con esto evitar la aparición de la diabetes. Para ello podemos revisar nuestros hábitos y buscar las opciones más saludables.,educativo,,Ok,respuesta a consejo o pregunta,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok
5357,1649,5491,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,SÍ quiero recibirlos,optin,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí quiero recibirlos,si quiero recibirlos,sí querer recibir él,si querer recibir él,si quier recib,si quier recib
5358,1650,5493,"Necesitamos tu aprobación para enviarte mensajes con consejos saludables semanales por WhatsApp. Si no querés recibirlos, respondé 'NO quiero recibirlos'. Si querés recibirlos, por favor respondé 'SÍ quiero recibirlos' a este mensaje.",consentimiento,,Si,optin,si,si,si,si,si,si,si,si,si,si,si
5359,1650,5494,La insulina evita que la DIABETES avance. Ayuda a que el azúcar en la sangre no suba.,educativo,,Okey gracias,agradecimiento,okey gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
5360,1650,5495,"¿Tenés que bajar de peso y no sabés cómo? Empezá de a poco: disminuir las porciones de cada comida, o comer más frutas y verduras te va a ayudar a bajar de peso.",educativo,,Gracias necesito saber cómo preparar la comida para diabéticos,pregunta,gracias necesito saber cómo preparar la comida para diabéticos,gracias necesito saber cómo preparar la comida para diabéticos,gracias necesito saber cómo preparar la comida para diabéticos,gracias necesito saber cómo preparar la comida para diabéticos,gracias necesito saber como preparar la comida para diabeticos,gracias necesito saber cómo preparar comida diabéticos,gracias necesito saber preparar comida diabeticos,gracias necesitar saber cómo preparar comida diabético,gracias necesitar saber preparar comida diabetico,graci necesit sab com prepar com diabet,graci necesit sab prepar com diabet
5361,1650,5496,"¿Tenés que bajar de peso y no sabés cómo? Empezá de a poco: disminuir las porciones de cada comida, o comer más frutas y verduras te va a ayudar a bajar de peso.",educativo,,Okey gracias,agradecimiento,okey gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok gracias,ok graci,ok graci
5362,1650,5497,"Si querés bajar de peso, es importante que sea de a poco, para que se mantenga a lo largo del tiempo. Esto nos ayuda a evitar el ""Efecto Rebote"" o volver a subir rápido.",educativo,,👍🏻🫶,agradecimiento,👍🏻🫶,👍🏻🫶, em_pulgar_hacia_arriba   em_manos_formando_un_corazón ,,,,,,,,
5363,1650,5498,¡No es necesario cambiar todo de un día para otro! Los pequeños cambios nos ayudan a ir mejorando poco a poco y a sentirnos mejor.,educativo,,👍🏻,agradecimiento,👍🏻,👍🏻, em_pulgar_hacia_arriba  ,,,,,,,,
